,release_date,danceability,energy,loudness,acousticness,instrumentalness,valence,rock,pop,dance pop,classic rock,classical,rap,hip hop,modern rock,mellow gold,album rock,permanent wave,pop rap
29142,2021,0.591,0.764,-5.484,0.0383,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24316,2021,0.736,0.7040000000000001,-7.409,0.0203,0.0,0.894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26357,2021,0.8079999999999999,0.897,-3.712,0.0469,3.14e-05,0.591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24863,2021,0.563,0.664,-5.044,0.335,0.0,0.688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34134,2021,0.8240000000000001,0.764,-4.175,0.0888,0.00294,0.8809999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5216,2017,0.7140000000000001,0.8,-4.808,0.127,0.0,0.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41744,2021,0.762,0.7659999999999999,-3.955,0.0077599999999999,6.979999999999999e-05,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28454,2021,0.7959999999999999,0.7979999999999999,-6.312,0.034,4.19e-05,0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1137,2021,0.664,0.609,-6.509,0.304,0.0,0.1939999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31660,2021,0.7,0.49,-5.187,0.186,0.0,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1473,2021,0.737,0.846,-4.51,0.00614,0.0,0.546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9109,2021,0.725,0.86,-3.726,0.422,0.0002839999999999,0.7909999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31872,2021,0.6659999999999999,0.465,-8.545,0.0503,0.0,0.292,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10625,2021,0.38,0.3389999999999999,-7.885,0.691,0.0,0.0849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6786,2021,0.75,0.608,-4.008,0.00165,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26398,2021,0.8490000000000001,0.424,-9.579,0.0635,0.0,0.153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15886,2020,0.514,0.73,-5.934,0.00146,9.54e-05,0.3339999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33823,2021,0.561,0.431,-8.81,0.768,1.42e-05,0.1369999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42994,2021,0.759,0.4589999999999999,-5.187,0.00323,0.0,0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23954,2020,0.773,0.47,-7.93,0.0153,0.000193,0.3989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8544,2021,0.65,0.825,-4.645,0.0215,2.44e-05,0.593,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44584,2021,0.762,0.701,-3.5410000000000004,0.235,0.000158,0.742,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7917,2020,0.7609999999999999,0.525,-6.9,0.44,6.7e-06,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42578,2021,0.6709999999999999,0.636,-8.117,0.515,0.000411,0.262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40060,2021,0.915,0.72,-3.1260000000000003,0.025,1.42e-05,0.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33672,2021,0.831,0.5539999999999999,-9.998,0.161,6.12e-05,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12463,2021,0.8909999999999999,0.8190000000000001,-3.964,0.0261,0.000354,0.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3282,2021,0.639,0.703,-6.33,0.0889,1.78e-06,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34531,2021,0.442,0.612,-7.222,0.584,5.7000000000000005e-06,0.178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2021,0.762,0.77,-2.758,0.138,0.0,0.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5355,2021,0.57,0.455,-5.747999999999999,0.441,0.000746,0.3989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38075,2021,0.743,0.655,-5.015,0.114,0.0,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6524,2021,0.659,0.688,-4.649,0.207,0.0,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38302,2021,0.593,0.503,-6.725,0.293,0.0,0.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19792,2021,0.395,0.4429999999999999,-9.72,0.765,9.67e-06,0.3379999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5867,2021,0.787,0.833,-4.4030000000000005,0.018,0.00747,0.7959999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23652,2021,0.586,0.616,-7.963999999999999,0.182,0.0,0.7190000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24759,2021,0.6659999999999999,0.7959999999999999,-6.9670000000000005,0.0492,0.0,0.61,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21596,2021,0.7290000000000001,0.513,-6.345,0.494,1.1e-06,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27348,2021,0.701,0.716,-3.671,0.174,0.0,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16975,2021,0.912,0.655,-6.029,0.315,3.39e-05,0.7929999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41956,2021,0.8240000000000001,0.862,-3.424,0.0076,0.000132,0.8009999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2997,2017,0.727,0.6809999999999999,-7.114,0.00214,0.000307,0.4479999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6819,2021,0.75,0.522,-7.018,0.282,0.0,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41817,2021,0.7340000000000001,0.846,-3.425,0.166,1.74e-06,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42270,2021,0.715,0.622,-5.102,0.163,0.0,0.8079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31732,2017,0.603,0.7829999999999999,-4.023,0.449,7.96e-06,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19388,2021,0.721,0.738,-4.77,0.00226,4.41e-06,0.637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7802,2020,0.7979999999999999,0.62,-7.079,0.414,0.0192,0.235,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38937,2021,0.8290000000000001,0.512,-5.865,0.492,0.0,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
